TestData_Name, TestData_Accuracy, Precision, Recall, F1 Score, MeanValue IoU, Bottle, Box, Candle, Coffee_Mug, Flowerpot, Footwear, Glass, Void
Image74_Color, 0.883685, 1.000000, 0.883685, 0.938251, 0.220921, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
Image75_Color, 0.854499, 1.000000, 0.854499, 0.921541, 0.213625, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000
Image76_Color, 0.877799, 1.000000, 0.877799, 0.934924, 0.219450, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000
Image77_Color, 0.892607, 1.000000, 0.892607, 0.943257, 0.223152, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000
Image78_Color, 0.893880, 1.000000, 0.893880, 0.943967, 0.223470, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
Image79_Color, 0.893639, 1.000000, 0.893639, 0.943833, 0.223410, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image7_Color, 0.955944, 0.960787, 0.955944, 0.958360, 0.496081, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.998589
Image80_Color, 0.902061, 1.000000, 0.902061, 0.948509, 0.300687, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image81_Color, 0.842246, 1.000000, 0.842246, 0.914369, 0.210562, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image82_Color, 0.838988, 1.000000, 0.838988, 0.912445, 0.209747, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image83_Color, 0.901738, 1.000000, 0.901738, 0.948331, 0.225435, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image84_Color, 0.873568, 1.000000, 0.873568, 0.932518, 0.218392, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image85_Color, 0.850703, 1.000000, 0.850703, 0.919330, 0.212676, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000
Image86_Color, 0.843167, 1.000000, 0.843167, 0.914911, 0.168633, 0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000
Image87_Color, 0.854206, 1.000000, 0.854206, 0.921371, 0.170841, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000
Image88_Color, 0.857581, 1.000000, 0.857581, 0.923331, 0.171516, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image89_Color, 0.866097, 1.000000, 0.866097, 0.928244, 0.173219, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image8_Color, 0.957796, 0.963021, 0.957796, 0.960401, 0.494189, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.996866
Image90_Color, 0.751341, 1.000000, 0.751341, 0.858018, 0.125224, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image91_Color, 0.828089, 1.000000, 0.828089, 0.905961, 0.165618, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image92_Color, 0.832383, 1.000000, 0.832383, 0.908525, 0.138730, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000
Image93_Color, 0.822839, 1.000000, 0.822839, 0.902810, 0.164568, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000
Image94_Color, 0.793236, 1.000000, 0.793236, 0.884698, 0.158647, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000
Image95_Color, 0.812083, 1.000000, 0.812083, 0.896298, 0.135347, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000
Image96_Color, 0.823063, 1.000000, 0.823063, 0.902945, 0.137177, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image97_Color, 0.830785, 1.000000, 0.830785, 0.907572, 0.138464, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image98_Color, 0.797233, 1.000000, 0.797233, 0.887178, 0.132872, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000
Image99_Color, 0.804512, 1.000000, 0.804512, 0.891667, 0.160902, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000
Image9_Color, 0.932194, 0.998197, 0.932194, 0.964067, 0.466939, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000
image55_Color, 0.948190, 0.957674, 0.948190, 0.952908, 0.493504, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.998430
